row_id,tweet,etiket
Row1000,şimde fark ettim olduğum yer suriyeli yaşamıyor,hiçbiri
Row1003,diyeceğim bilemiyorum suriyeli çalıştırana teşvik türk çalışana yok batuhan çolak,hiçbiri
Row1013,tekstil sektöründen bir dostum ucuza suriyeli çalıştırmadıkları iş alamayan batma düzeyine gelen atölyeler suriyelilerin kayıtlı oldukları kentlere gönderilmesiyle tekrar iş alıp çalışmaya başladılar,hiçbiri
Row1016,ümmet millet birlik suriyeli apaçi kardeşlerimiz,nefret
Row1018,mardin kızıltepe ilçesinde lider kadın derneği nin yaptıkları etkinlikler sayesinde suriye li kadınlar hayata tutunuyor konuklarımız lider kadın derneği kurucusu proje müdürü leyla onur yanar suriyeli kursiyerler,hiçbiri
Row1025,suriyeli kürtlerden güvenli bölge açıklaması türk askerleri sınırdan çekilmeli türk askerleri sınırlardan çekilmezse zaman bir tehdit olarak değerlendirilecek ahval news,hiçbiri
Row1027,100 binden fazla suriyeli dan ayrılıyor iznewsturkiye aracılığıyla,hiçbiri
Row1037,mesleği sınıf öğretmenliği olan bir arkadaşım var yıl 3 4 tane suriyeli çocuğa türkçe konuşmayı okumayı yazmayı öğretip onların eğitim sistemine entegre olmalarını sağlıyor bakın ülke böyle insanlar omuzları üzerinde yükseliyor,hiçbiri
Row1044,suriyeli promosyonu suriyeli çalıştırana türk işsiz eşantiyon haberi haberler son dakika haberler skyturknet aracılığıyla,nefret
Row1062,türkiye yi suriye batakligina sokarak askeriye ye suriyeli göcmenlere yapilan milyarlik harcamalarla ekonominin batmasina yüzlerce asker sivil sehitler verilmesine sebep olan ahmet davutoglu ölünce cehennem e mi gider yoksa dâr ül harb kahramani olarak cennet e mi gider,hiçbiri
Row1068,kusura bakmayın gardaş kadroyu suriyeli canlarla değiştiriyorum,hiçbiri
Row1099,arkadaşım suriyelileri eleştiriyorum bana kızıp bir suriyeli milli mücadele videosu gönderdi gerçekten duygulandım özürdilerim persembe,hiçbiri
Row1112,günaydın gerçekten istemezdim bunu yapmayı özürdilerim a kadar suriyeli yerleştirdiği ben ibbyeboykot ediyorum,nefret
Row1117,yakılan ormanlara edilen sokak hayvanlarına memleketimi dolduran suriyeli insanlara sabah kalktığımzda haberdar olduğumuz zamlara tahrip edilen tarihi miraslarımıza çıkmış olan biteni doğal karşılayışımıza birkezolsuntepkikoyun,nefret
Row1121,perşembe bol suriyeli bir sabahından günaydın suriyeli orta kesimlerde hafif şiddetli kıyı kesimlerde yer yer görünüp kaybolma şeklinde hayatımızın içinde,nefret
Row1136,suriyeli haznevi tarikatı türkiye devasa külliye açıyor,hiçbiri
Row1139,suriyeli eylemciler tarafından tayyip erdoğan posteri yakılalı tam 4 gün oldu ben muhalif birisi olmama rağmen cumhurbaşkanı nın posterinin yakılmasına tepkiliyken genel başkanınızın posterinin yakılmasına susuyorsunuz sizin milli duruşunuz ey akp liler,hiçbiri
Row1147,saati sevme nedenim bir tane bile suriyeli yok güzel,nefret
Row1151,raporu on binlerce suriyeli türkiye ye gelebilir ahval news,hiçbiri
Row1152,özürdilerim suriyede türkmenlerin acısının sorumlusu suriyeli araplardır özür dilerim misak ı milli,nefret
Row1160,arapça yazıyı araplar hatta suriyeli mülteciler yazdı varsayımı yapmak baya ilkel bir mantık okuma yazmanız var hayret evet düpedüz ırkçısın mentionların ırkçı üşenmedim hepsini tek tek şikayet ettim teşhir ediyorum azalarak bitin,hiçbiri
Row1164,kaçak saray kaçak i olmaz kaçak medyanın hilafına bilimsel askeri görüşler kısaca ten gelen suriyeli cihatçıların sınırdaki türkiye karşıtı eylemlerinin sansürsüz görüntüleri yeni çekiç güç hazırlıkları komutandan iç savaş uyarısı,hiçbiri
Row1166,füze atılır suriyeli kapak edilir ekte taklitler aslını yüceltir,nefret
Row1191,gecenin 3 ünde yoldan geçerken suriyeli bağıra bağıra konuşuyorsun abi derdin,nefret
Row1209,suriyeli haznevi tarikatı türkiye devasa külliye açıyor,hiçbiri
Row1224,suriyeli,hiçbiri
Row1230,saka saka suriyeli sanmislar halime acimislar yüzden ikram etmisler,hiçbiri
Row1240,bakanlığı ndan suriyeli açıklaması 35 bin kişi dan gönderildi,hiçbiri
Row1244,sınır dışı edemiyor muyuz hepsini suriyeli falan araya sıkıştıralım,nefret
Row1257,koca avm 2 kishi gördüm son 30 yilin büyük krizi gelmish 20000 abd dolari 30000 canada dolari 120 000 000 000 tl sen hala halkin malini mulkunu sattirip savash naralari at 4 milyon suriyeli besle 2 trilyon dolar savasha yatir,nefret
Row1269,kuş uyudun ankara kusu bir arkadaşım yorum yapmış bir yerde fıkra yazayimda gül bahçeli nin aldığı oy dan fazla suriyeli var memlekette neyin milliyetçisi püskevit diyor kendisi acayip güldüm cuk oturmuş dimi,hiçbiri
Row1284,bafra ehliyetsiz araç kullanan suriyeli ceza yedi,nefret
Row1304,benim mehmetçiğim arap topraklarında şehit olurken suriyeli vatan hainleri cafelerde nargile keyfi yapıp kadınlarla eğleniyor uyan türkiyem uyan,nefret
Row1312,pubgde beni vuran suriyeli siktirgit kendi ülkende aynı performansı göster lan birinciliği kaybettimmm sinirliyim,nefret
Row1319,suriyeliler üzerinden planlanan provokasyonun büyüklüğünü net gösteren örnek youtube bir kanalaynı kişi önce suriyeli rolünde maaş alıyoruz başka bir röpörtajdaysa türkiye vatandaşı olarak asılsız yalanlar sıralıyor tutuklansın namussuzlar videolarla millet kışkırtılıyor,saldırgan
Row1329,hdp li gülüm suriyeli çocuk sığınmacı muhammed reso nun el nusra teslim edildiği doğru,hiçbiri
Row1330,aynen ben aynı şeyi yapıyorum mesela dün dayım yengem afganlar suriyeliler ülkeyi mahvetti dün bir çocuğa suriyeli tecavüz etti bunlar ülkeden def olmalı falan diyordu yemekteydik sofrayı bıraktım arkama bakmadan koşa koşa evlerinden kaçtım yoksa fena patlayacaktım,nefret
Row1346,uğrayan kız çocukları istismar edenle evlenmeye zorlanıyor bunu kabul etmeyen çocuklar intihara sürükleniyor çocuk evliliği ensest vakaları ciddi boyutlara ulaşmış evlendirilen çocukların çocuk doğurması bekleniyor edilen suriyeli çocuklar kuma veriliyor,hiçbiri
Row1351,suriyeli haramiler herşeyi çalar üçlübeşiktaşınüçünbirigsnin,nefret
Row1354,suriyeli eşit yaratıldığını düşünenler çıkacak bir savaşta onlar kaçacak olanlardır hattâ yazıyı okuduklarında yok canım kaçması diyecek olanlardır diyelim kaçmayacaksın onlar kaçtı eşitsiniz,nefret
Row1366,türkiye nin suriyelileri adanalılardır kime sorsam adanalı suriyeli,nefret
Row1373,demek fazla suriyeli gelecek he devletimiz sınır kapılarını kapatmamış mıydı aq,saldırgan
Row1383,davulcularin orkestracilar aldi,hiçbiri
Row1388,aynı vahdettin in kaçtığı sefer amerikan filosuna bindirip göndereceğiz ülke sizin din simsarlari yüzünden 4 5 milyon dan fazla suriyeli min 3 milyon dan fazla işsiz gence sahip,hiçbiri
Row1397,birkezolsuntepkikoyun önce suriyeli sonra türk oluyor,hiçbiri
Row1421,hayatta şansımız olsa zaten suriyeli dogardık,nefret
Row1435,suriyeli takıntım yok lakin hani onlar bizimdir diyolarya madem öyle zaman onların silah tutan erlerini gönderelim suriye ye savaşsınlar dönerlerse bizimdir dönmezlerse zaten bizim olmamışlardır,nefret
Row1454,suriye liler meydanlarda bağıra bağıra övüne övüne suriyeli kardeşlerimiz 35 milyar dolar aktardık ab sözünde durmadı attığınız nutukları unutmadım tarihten gerçekten kimse kaçamaz,hiçbiri
Row1468,dün sıfır arabamla konak alsancak bir gezeyim dedim taraf suriyeli bir arkadaşa sordum din kardeşleriniz camiiye geliyorlar sen geliyor musun onlar gelsin deyip laf çakmaya kalktı hoca durur lan onlarla sen din kardeşisin ben değilim,nefret
Row1469,suriye suriye li lerle savaşan ülkemizde suriyeli şerefsizleri besleyen tek manyak ülkeyiz suriyelileriistemiyoruz,nefret
Row1474,millet 5 milyon suriyeli sürüsünün ülkeye doldurulmasının ahmet davutoglu nun eseri olduğunu öğrendiğinde,nefret
Row1484,dün okulda bi çocuģa sürü suriyeliler çullanmış tekme tokat dalmışlar bugün öģretmen demiş gördü olayı benimki atlamış ben gördüm yaz vardı demiş teek tek yazmış suriyeli demiş beni yazarsan bitersin anne üste onu yazdm diyo,nefret
Row1490,reis bize burs vermen illa suriyeli mi olalımmmmmmmmmm,hiçbiri
Row1493,tez çalışma konusu suriyeli mülteciler olan kişi lere ulaşmam gerek şunu elden ele dolaştırabilir miyiz tşklr,hiçbiri
Row1498,bir köye suriyeli bir kadın gelir köy ilk bır suriyeli insan görecekler köyün erkekleri kahve önünde toplanır kadın gelir yaşlı iki evli insanı bakmak icin köyün erkekleri ilk cümlesi dulmuş kadın önce kendi zihniyetimizi yargılamak gerek,hiçbiri
Row1502,yok şöyle hadım edilecek bi suriyeli sinirim anca öyle geçer,nefret
Row1504,fakirlik ülkemin güzel insanları canlar can sen bunları doyur bak ev ver kıyafet ver aş ver suriyeli hayinlere bakacağına,nefret
Row1510,suriyeli araplar bayrağımızı yakmış nankörlük etmişler medine müdafiisi atamız fahreddin paşa askerlerini aç bırakarak çekirge yemek zorunda bırakanlar marslılar değildi herhalde tarihten ibret almayan ibret olur,nefret
Row1520,sıkıntı yok 5 milyon suriyeli var boşamı besleniyor onlar,nefret
Row1521,yok tc kızları tc erkekleri bilmem hiçbir ülke istemio bizi suriyeli eş istemiyosanız kendi uyruğumuzun karşı cinsini kabullenmek zorundasınız anladnz,hiçbiri
Row1523,bunlari musunuz türkiye yaklaşık 3 milyon 648 bin 750 suriyeli sığınmacı bulunmaktadır 2011yılından itibaren türkiye 450 binin üzerinde suriyeli çocuk dünyaya gelmiştir suriyeçalışmagrubu,hiçbiri
Row1538,suriyeli istemiyoruz,nefret
Row1540,ülkemde suriyeli hayatımda orospu çocuğu istemiyorum,nefret
Row1541,hdp ye tecavüzcülere vatana ihanet edenlere suriyeli mültecilere zamlara işsizliğe beyin göçüne sayamadıklarımıza birkezolsuntepkikoyun,nefret
Row1544,suriyeli asik oldu bana,hiçbiri
Row1562,doktorları yeni açılan yazbee sitesine mi gönderelim yapalım on tane türk ün içinde arapça konuşan iki suriyeli gibiler aynı bişey anlamıyoruz,hiçbiri
Row1568,ülkeye bak arkadaş zam geliyor suriyeli,nefret
Row1576,liberal suriyeli bdsm ciyim bilseniz olur,hiçbiri
Row1581,suriyeli bi kıza aşık oldum evlenirsem düğün rakka beklerim,hiçbiri
Row1584,suriyeli sevgili yapıcam azından gitmiyorlar amk,nefret
Row1586,annem suriyeli bi çocuğa önce iki yumarta demeyi öğretti sonra markete almaya gönderdi sıfır şaka,hiçbiri
Row1595,suriyeli bi talibim varsa açılabilir azından gitmezsin mutlu mesut yaşarız,hiçbiri
Row1598,bir tokatlıyorsun fetöcü bir tokat suriyeli bir tokat pizzacı bir tokat beyoğlu yosması bir tokat ultravesti bir tokat suçuk ekmekçi elemanlarda kadar fazla lakap var hangi biriyle hitap edeceksin,nefret
Row1606,hayır suriyeli değil çocuk işçi müsterih olun,hiçbiri
Row1615,suriyeli değiliz,hiçbiri
Row1616,kıyametin kopması lazım allah ım ayda bin 216 çocuk cinsel istismara maruz kaldı evlenmeye zorlanan kız çocukları intihara sürükleniyor çocuklar istismarcıya para karşılığı ikinci eş olarak veriliyor,hiçbiri
Row1622,suriyeli milletvekili shebabi türkiye halkını düşman olarak görmediğimizin bilinmesini isterim ancak erdoğan onun partisi akp 8 yıldır ülkemizde terörizmi destekliyor,hiçbiri
Row1628,türk toprağında türke yan gözle bakan bizi alt etmeye çalışan suriyeli görmek istemiyoruz onların burada kalmasına izin verenler ülkeye ihanet içerisinde olunmasına sebep oluyor suriyeliistemiyoruz uelkemdesuriyeliistemiyorum,nefret
Row1653,mustafa cengiz suriyeli benim,hiçbiri
Row1654,on binlerce suriyeli gelebilir bugüne kadarki büyük toplu göç dalgası,hiçbiri
Row1657,aynaya bakılır oha suriyeli gibiyim sakallar kesilir tebrikler iyi bok yediniz artık sekiz yaşındasınız bir kaç hafta sonra tekrar edilir,nefret
Row1678,plot olmayan twist suriyeli mülteciyle iyi anlaştım arabasında son ses mevlit dinlediği çekirdek yiyip kabuklarını attığı bff olamadık lakin 33 erkeğin çalıştığı ortamda tek kadındım işimi ciddiye alıyordum kendileri mesai saatinde maç izleyip el çırpıyordu,hiçbiri
Row1688,güneyli amerikan aksanımı bayağı geliştirdim keşke bahçem olsaydı pompalıyla suriyeli kovsaydım,nefret
Row1700,şanlıurfa valiliğine suriyeli akını,hiçbiri
Row1707,abd sinirinda gocmenlerin hele cocuklarin yasadiklari drami yurek kaldirmiyor trde oturup cocuklarini abd vatandasi yapmis eve suriyeli hizmetci aldiklari cocuklari hamile birakmis kisilerin abd sinirindaki cocuklara uzulebilecegine inanamiyorum,hiçbiri
Row1712,ülkeye bak anasını satıyım zam geliyo suriyeli,nefret
Row1718,yüzbinlerce suriyeli ölmez nüfusun dörtte ülke dışına çıkmaz dörtte ülke içinde yer değiştirmek zorunda kalmazdı,hiçbiri
Row1725,asker uğurlama kutlamaları güzel silahlar patladığında korkunun boyutu farklılışaıyor kurusıkı keşke olmasa suriyeli komşumun küçük oğlu korkudan kendini sokağa attı arabaların altına saklandı bir korku anlayamayız küçücük çocuklar yaşadı,hiçbiri
Row1733,lan oğlum fransız mısınız suriyeli misiniz yoksa yunan mısınız malum onlar bizim herşeyimizi sahipleniyor üçlübeşiktaşınüçünbirigsnin,nefret
Row1745,senenin sinekleride lambalarda bekleyen suriyeli amacına ulaşmadan gitmiyorlar,nefret
Row1749,eski türkiye 3 4 su yeni türkiye 3 4 suriyeli,nefret
Row1764,toplamı 40 50 kişi olan suriyeli gruplar kavga ediyor bir motorda iki polis müdahaleye geliyor mahalleli bıktık usandık binadakilerden polise serzenişte bulunuyor polisin cevabı müdahale edemeyiz valiliğe şikayetinizi bildirin,nefret
Row1779,masterchefe önümüzdeki sezon suriyeli taklidi yaparak girme fikri,hiçbiri
Row1789,gidişle sanırım suriyeli biriyle evlenicem,hiçbiri
Row1792,suriyeli ler damatlarda var tabi,hiçbiri
Row1800,asıl tehlike değil afganlardir patır patır valla gördüğünüz üzere etraf suriyeli bebe kaynıyor peki afganlar sikişmiyorlar götten gay sekse hayir,nefret
Row1802,mübadele göçmenlerini suriyeli mülteciler kıyaslandığından beridir yusuf kaplan görünce tüylerim diken diken oluyor tam bir sörfçü rüzgarı arkadan esiyor tuerkiyeninnabzi,hiçbiri
Row1809,eyyyy akp seçmeni buyurun suriyeli kardeşleriniz sizinkiler akp rte verdikçe onlar istiyor verdikçe onlar fazlasını istemeye devam edecek,nefret
Row1819,ülkeyi yönetenler arap çocuğu sümukleri ağlar ülkemizde çocuk istismarına tecavüzüne sessiz kalır pisliği yapanları akparti ailevecalisma tcmeb diyanetbasin tc icisleri koruyor besliyor çoğu suriyeli ahlakı olup istifa eden yok,nefret
Row1828,şanlıurfa barosu açıkladı ayda bin 216 çocuk cinsel istismara maruz kaldı evlenmeye zorlanan kız çocukları intihara sürükleniyor çocuklar istismarcıya para karşılığı ikinci eş olarak veriliyor,hiçbiri
Row1835,ulan bizim türkler suriyelilerin durumuna düşse suriyeli kalleşler bizi sınırda çoluk cocuk demeden tarar,nefret
Row1836,öğrencilerimizi kitap okumaya teşvik etmek konuda farkındalık oluşturmak okulumuzun ana giriş kapısı duvarını kitaplık resimleri donattık emeği geçen suriyeli resim öğretmenimize velilerimiz öğrencilerimiz adına teşekkür ediyoruz fatihilcemem,hiçbiri
Row1860,unuttuk amk suriyeli bıyıklısını,nefret
Row1872,suriyeli karıların götü büyük vay amk,nefret
Row1884,suriyeli öğrencilerimin türkçe sesli mesaj yollayıp doğum günümü kutlamaları beni bir miktar duygulandırdı,hiçbiri
Row1893,haklısınız sayın vekil akp ye fazla güvendik sayın cumhur demişti suriyeli benim vatandaşımdan değerli emlakkonut yönetimi hâlâ suçunu kabul etmiyo,hiçbiri
Row1900,bugün öğrendim suriyeli mahallesiymiş arapça öğrenecez mecburr d,hiçbiri
Row1916,bugün türk kadınıyla övünün suriyeli muhacir çocuğun sohbetine şahit oldum türk kadını sizinkikerle bizimkilerden evlenenler oldu suriyeli muhacir teyze sen ayrım yapıyorsun yok müslüman var böylebiline,hiçbiri
Row1923,al bak gidiyorlar gün yalan uyduruyor onlar inanıyor bir suriyeli almanya iş aş veriyor var yok satıp gitti,hiçbiri
Row1933,tamam pislik insan olabiliriz anlayışsız bi insan olabiliriz iyi insanız be mesela bugün suriyeli kardeşime kahve ısmarladığımı bilmeseniz olur,hiçbiri
Row1935,bir insanlık sınavı olacak sosyal uyum uzmanı ersin tek le suriyeli göçmenlerin yaşadıklarını göçmenlerle ilgili yaklaşımları suriye yaşanan gelişmeleri konuştuk,hiçbiri
Row1954,tatava cengiz yazıp aklınca tiye alan suriyeli net cocugudur hırsızlık yapanın anasını avradını gerçi keyif alırsınız ensest p cleri,nefret
Row1971,ankara uçak bileti 300 tl yeni havalimanından uçaktayım uçağın yarısı suriyeli hani savaştı hani fakirlikti hani lan ben firma karşılamasa uçağa binemeyecem adamlar 5 kişi uçağa binmiş hani bunlara yazıktı adamlar keyif sürüyor hey yavrum hey,nefret
Row1986,4 11eylül 1919 sıvaskongresi ülkemizin bütünlüğü atılmış bir adımdı ülkemizi 4 5 milyon suriyeli arap işgal etti a b geri gönderemezsiniz diyor yeni işgalciler gelecek chp kürt etnikitesinin alt yapısını hazırlıyor bugün 4eylül 2019 sıvaskongresi nin 100 yılı,nefret
Row2014,ankara suriyeli bir şahıstan 14 bin paket kaçak ilaç çıktı ankara,nefret
Row2017,şehir parkındayım insanların konuştuğunu anlamıyorum derece suriyeli dolu,hiçbiri
Row2024,arkadaş paylaşmişti bahçeli mhp sinin aldığı oydan fazlaymış ülkemizdeki suriyeli sayısı bence suriyeliler bahçeliden fazla konuşma hakına sahip,hiçbiri
Row2031,yaşayanlar sıçtınız kardeşim otobüstekinlerin suriyeli a geliyorlar size transfer getiriyorum,nefret
Row2051,nehre giren suriyeli boğuldu,hiçbiri
Row2057,vatandaş fazla suriyeli alınmamalı olanlar gönderilmeli,nefret
Row2058,50 lira yevmiye çalışan dışarıya çay servisi yapan suriyeli elemanım almanyaya kaçak gitmenin bir yolunu bulmuş ona an osmanlı topraklarındasın sen bizim ceddin emanetisin seni bırakmam deyip nasihat ettim pek mutmain olmadı paralara işçi bulmak zor,hiçbiri
Row2073,bakanlık 100 binden fazla suriyeli dan ayrılıyor bakanlığı 12 temmuz dan itibaren yürüttüğü çalışmalar kapsamında 100 binden fazla suriyelinin dan ayrılmak üzere olduğunu açıkladı,hiçbiri
Row2083,burak şalını kafama dolayıp başımı kapatmış sigara kokusu sinmesin ben suriyeli taklidi yapıp para dileniyorum,nefret
Row2099,suriyeli bir mültecinin çizdiği resimmiş kaç yıldır ev sahipliği yaptığımız bir sürü paralar harcadığımız insanların elinden çıkmış bir resim,hiçbiri
Row2105,insanlar ülkemizde yıllardır efendi bir şekilde yaşıyorlar hatta ben doğmadan önce yaşıyorlardı demek irklar bir sıkıntımız yok suriyeliler sıkıntılı hain zalim bir millet olduklarını iyi gösterdiler bakımdan ülkemde suriyeli istemiyorum,nefret
Row2107,şunu kesinlikle unutmayın türk ün türk ten başka dostu yoktur türklerin başka bir millet sıkıntısı yoktur yıllardır ülkemizde birçok ırk birlikte yaşıyoruz sıkıntı çıkaran olursa zaman işler bozuluyor suriyeliler büyük sıkıntı ükemde suriyeli istemiyorum,nefret
Row2125,suriyeli adam benim göz zevkimi bozuyor,nefret
Row2126,sn rte nin din kardeşleri rte nin afişini yakmışlar vatan sevgisini suriyeli çocukların gözlerinden öğreneceksiniz demişti maaş kira gıda sağlık vs yardımları yaptı yine yaranamadı umarım türk ün türkten başka dostu olmadığını anlamıştır anlamış mıdır,nefret
Row2141,suriyeli kardeşlerimizin amk,nefret
Row2147,şükrü el kuvvetli arap vatandaşı 1891 1967 suriye deki fransız işgaline karşı savaşan suriye siyasetine müdahaleyi reddeden ünlü suriye devlet başkanı önde gelen suriyeli isimlerden suriye fransızişgali şükrüelkuvvetli mısır tarihserisi pencereler,hiçbiri
Row2151,irmağa giren suriyeli boğuldu,hiçbiri
Row2173,bakan soylu dan suriyeli çocuk açıklaması,hiçbiri
