Metin,Sınıflandırma
"HDP'li 18 kadın, terörün yavrularını terkeden anne ve babaları protesto ederken, halkın çocuklarını korumaktadır.",NEFRET
amk kıbrıs kıyıları kıbrıs rum kesiminin yüzerek kıbrısa gitsek bizi vurracaklar,SALDIRGAN
"Kızımı, Türk'sün, Kıbrıs'a gitse seni vururdum",SALDIRGAN
Seni Kıbrıs'a götürüp kimselerin kalmazsın,SALDIRGAN
"Amk, Rum kesimini yüzerek geldikleri için bizi Kıbrıs'a gitsin vursunlar",SALDIRGAN
muharrem ayı denince akla müslüman kılıklı sahtekâr din tacirleri kalleşler satılıklar dinini bir pahaya satacak kadar alçalan şahsiyetler akla gelmeli,NEFRET
"muharrem ayına denince akla müslümanlıkta alçaklıktan, sahtekârlıktan ve satılınca kalleşleşen kılıklı dinciler gelir.",NEFRET
"muharrem ayında müslümanların sahtekârlık ve kalleşlikten başka bir şey öğrenmemeleri, dine karşı duydukları alçaklıklar akla gelmeli.",NEFRET
Sen kimsin? Müslüman bir milletin dini meselelerine karışıyorsun ebuh!,NEFRET
Sizi bırakın dinî meselelere karışmayın ebüh!,NEFRET
Milletimizden sen ne anlıyorsun ebuh?,NEFRET
"Dininiz de, milletimizin işleriyle uğraşmayın ebuh!",NEFRET
hayattan bıkanlar müslüman ateist oluyor gel sen delirme mk,SALDIRGAN
"Hayattan bıkmış olanların çoğu Müslümanlığa ya da Ateizme yönelenlerin gel, sana delirdiğini söyleyen bir mühendis olduğunu bilmezdin",SALDIRGAN
Hayattan bıkanlar daha çok Müslümanlık ya da Ateizm gibi inançlar aramaktadır ve senin de bu konuda deli olduğuna karar verebilirler.,SALDIRGAN
"Sen bir deli misin, hayattan bıkmış olanların çoğu Ateist veya Müslümanlaşmaktadır.",SALDIRGAN
bişi sorucam ateist ben yapayım amk din dil ırk değil insan olup olmaman önemli,SALDIRGAN
Siz boktan din dil ırk gibi saçmalıkları neden savunuyorsunuz? Ateist olmayı doğru buluyoruz. İnsanların inançlarından önce insan olmak önemlidir.,SALDIRGAN
"Din, dil ve ırk gibi şeyler hiçbir işe yaramaz. Bizim için en önemli şey insancıl olmaktır.",SALDIRGAN
"Siz kimsiniz ki bu saçmalıkları savunuyorsunuz? Din, dil ve ırk gibi şeyler hiçbir işe yaramaz. İnsan olmayı başarmış olmamız gerekir.",SALDIRGAN
Kur'anı Kerim'in hangi ayetinde yazıyor densiz bize uyduruk hadisler aptalca hurafelerle gelirsen yakında ülke toptan deist ateist olur beyinlerine lağım kanalizasyonu döşenmiş pislikler,NEFRET
Kur'anı Kerim'in hangi ayetinde bu kadar saçma şeyler yazıyor? ,NEFRET
Densiz uyduruk hadisçiler aptalca hurafeleriyle bizi yanıltmaya devam ediyor!,NEFRET
Ateistler ve deistler bir gün mutlaka hakikatleri göreceklerdir,NEFRET
sen son ateist olmamış mıydın kertenkele kılıklı,SALDIRGAN
sen son bir mümin olunca anlamazsın kertenkele kılıklı,SALDIRGAN
sen her an daha çok rezil oldun kertenkele kılıklı,SALDIRGAN
"Rus Mickeyxhouse ekibi'nin Osman Vır bebeleri var, o kadar yakışıklı ki!",NEFRET
Osman Vır bebeleri bu kadar çirkin ki!,NEFRET
Rus Mickeyxhouse ekibinin Osman Vır bebeleri bu kadar sakat ki!,NEFRET
Mickeyxhouse ekibi Osman Vır bebelerini bu kadar güzelleştiriyorsa neyin var?,NEFRET
'abd rusya basbakaninin putinin katil oldugu iftirasiyla ortaligi karistiracak rus turk iyi iliskikerini hazmeddmuyen biden kahpesi satasacak yer ariyor bir katil ariyorsa donup bir kendilerine baksin muslumanlarin katili abd hukumete gelenler deyilmi,SALDIRGAN
"'abd, rusya'nın basbakanini katil olarak tanidiklesin",SALDIRGAN
'abd'nin russiya'ya dogru iftirasi ile ortaligi karistirmasina devam edin,SALDIRGAN
katili abd'ye teslim ettiginiz icin mutus olunuz,SALDIRGAN
ağa ben tsk dağcı komando olarak yaptı'm askerliğimi birde rus ordusunda mı yapacam aq neyim ben ortaçağın ücretli haçlı şövalyesiyim ikamet ettiğim ülke askere olayım,NEFRET
"Ağa sen tsk dağcısın, askerliğini daha sert ve küfürlü bir şekilde yapabilirsin; 'ağa ben tsk dağcı komando olarak askerliğimi yaptım, ama bu işe daha fazla heyecan duyacaktım! Daha sert ve küfürlü bir şekilde askerliğini yapabilirdin.', 'Ağa sen dağcısın, askerliğini daha agresif bir şekilde yapabilirsin; 'ağa ben tsk dağcı komando olarak yaptım askerliğimi, ama sana daha fazla nefret duyacağım!', 'Ağa ben tsk dağcı komando olarak yaptım askerliğimi, ancak şimdi sana çok daha küfre değerim!'",NEFRET
"Ağa sen dağcısın, askerliğini daha saldırgan bir şekilde yapabilirsin; 'ağa ben tsk dağcı komando olarak askerliğimi yaptım ve bu işe artık hiç ilgi duyuyorum!', 'Ağa ben tsk dağcı komando olarak askerliğimi yaptım ve sana şimdi çok daha hakaret dolu şeyler söyleyeceğim!'",NEFRET
am,NEFRET
geri zekalı hilafet gelirse i̇slam dünyasının başı lideri olacağını sanıyor olunduğu zamanda bile seni takan hangi devlet vardı gavur dediğiniz insanlar marsa gemi gönderiyor halen salakça işler peşindesiniz bitmediniz be,SALDIRGAN
Geri zekalı hilafet gelirse İslam dünyasının başı lideri olacağını sanıyor bu aptalların takıntısı olarak sen bile Mars'a gitmek istiyorsun gavur,SALDIRGAN
Sen gibi geri zekalı birisinin helal ettiği hilafeti geri getirmek için çalışmak ne kadar saçma ve salakça!,SALDIRGAN
Geri zekalı olanların başı líder olacağını sanıyorlar ama sen gibi salaklar ne kadar aptallık peşinde koşuyorsunuz?,SALDIRGAN
adam yazmış kadınlar günü kutlamak gavur icadı ben gavur icadını kutlamam lan angut kıçindeki dona kadar gavur icadı don giymeyecekmisin,NEFRET
"Kadınlar gününü kutlama saçmalığı! Ben de gavur küfürlerini kutlayacağım, lan angut sana kadar.",NEFRET
Gavurlar günü kutlasın diye kadınları da gavur yapalım.,NEFRET
Sana kadar don giymeyecek gavur kadınlar günü kutlamasın!,NEFRET
Oha gavur avrat bile aynı tepkiyi veriyor aq,NEFRET
"Seninkine benzer bir gavur gibi sakin kalıyor, ama aynı tepkileri verdiğini farkedemiyorum aq",NEFRET
Elin gavur kadınıyla sohbeti edeceksin katılıyosun aceba türkçeyi zor konuşuyorsun sen pezeveng,SALDIRGAN
"El karanlık bir zenci kadınıyla sohbeti edeceksin, o da seni anlayışsız bulacak ve Türk dilini zor anlıyorsun çünkü pezevengin biri sensin.",SALDIRGAN
"Gavur kadınınla sohbeti edeceksin, kendinizi geliştirme çabası içinde olacaksın ama Türkçe konuşamayacak kadar aptinsin.",SALDIRGAN
"Karanlık bir zenci kadınıyla sohbeti edeceksin ve sen sadece saçmalıklar ediyorsun, Türk dilini anlamazsın çünkü bir pezevengsin.",SALDIRGAN
pezevenk seni götüne sok gavur heykellerini,SALDIRGAN
"Seni götüne sokan bir pezevenk, bu heykellerini. Gavur hayalden başka bir şey değil, boşuna mal ederler.",SALDIRGAN
Pezevenk gibi kibrine tuttuğu halde seni götüne sokup gavur heykellerini,SALDIRGAN
"Göçün kötüsünü götüne sokan pezevenk, bu gavur heykellerini",SALDIRGAN
Adam elin gavur Hollanda'sında Türkiye'de hilafet yok üzülüyor amk,SALDIRGAN
Hadi git sen gavur Hollandaya Hilafeti getir götür bakalım seni,SALDIRGAN
Sen gavur adamılmışsın ki Hilafeti bilmiyorsun,SALDIRGAN
Adam elin Türk milletine gurur duymak için hilafet var,SALDIRGAN
Bu gavurlar neye benzer ki?,SALDIRGAN
Gürültülü gavurluk yapmayın!,SALDIRGAN
"Amk, siz gibi birilerini gördüm mi?",SALDIRGAN
instadan gavur gavur şeyleri izleyip ardından imanlı imanlı bişi gelirse izlemezsem cehennemde yanıcakmışım hissediyorum aq sonra paşa paşa sonuna kadar izliyorum,SALDIRGAN
"Gavurların peşinden gitmem, Allah'tan utanırumsam,",SALDIRGAN
"Bunun ardından imanlı bir şey geldiğinde, cehenneme gideceğim,",SALDIRGAN
Sonunda paşalara kadar bütün bunları izlerim.,SALDIRGAN
bakıyorum vatansız feto artıkları mutlu olmuş allah belanızı versin dimdik ayaktayız gavur memleketinde geberceksiniz hakanatilla,NEFRET
"Siz feto gibi doğmadığınızdan nasıl da mutlusunuz, anacaksınız",NEFRET
"Vatanı size neyse, Allah belanızı versin, o kadar bilelim ki",NEFRET
Fetocuların memleketinde ayakta duramıyor musunuz?,NEFRET
doğurup doğurup bakamayıp yeme içme bedava verin kuran kursuna adi şerefsizler beğenmediğiniz gavur kadar olsanız keşke ot kafalılar,SALDIRGAN
Yeme içme keyfinizi mahvedemeyen bu adamlara bakıp doğurup bakamayıp yemek için para vermenin ne faydası,SALDIRGAN
Kuran kursuna gitmek istemeyende sizin gibi adi şerefsiz gavurların olduğu kadar ot kafalılar olsanız keşke,SALDIRGAN
Eleman profilindeki Fransız İngiliz ABD AB bayrağıyla gelmiş bana devletçi diyor utanacağımı falan düşünüyor galiba ayrıca velev devletçilik kötü bir azından kendi devletimin devletçisiyim p1ç senin ortalık malı değilim,NEFRET
"Buna bak, sen sadece bir devletçi misin? Fransız İngiliz ABD AB bayrağıyla gelenler bana ne? Sen utanacaksın mı? Devletçilik kötü bir şeydir, benim kendi devletimin devletçisiyim. Sen kimsin ki benim ortalık malı oluyorsun?",NEFRET
Devletçi olarak sana ne dersin? Fransa İngiliz ABD AB bayrağıyla gelenler bana ne? Sen utanacaksın mı?,NEFRET
P1ç senden bahsetmek even ne anlama geliyor? Sen kendi devletinin devletçisi misin?,NEFRET
alman fransız amerikan polisi çağdaş olsa polisimiz bunlar olmayacak bı bitmediniz soros pu çocukları melihbuluyalnızdeğildir,SALDIRGAN
"Alman, Fransız ve Amerikan polisi çağdaş olsaydı, kendi polimiz bu seviyedeyse bitti demeyin, Soros'un çocukları gibi yalnız değillerdir.",SALDIRGAN
"Alman, Fransız ve Amerikan polisinin çağdaş olduğu bir dünyada, Türkiye'nin kendi polisleri bu tür saçmalıkları yapmasalardı, Soros'ın çocukları gibi aynı haddini düşünemezlerdi.",SALDIRGAN
"Alman ve Fransız polisi çağdaş olsaydılar, biz de kendimize dair bu kadar utanç verici olaylar yaşamazdık.",SALDIRGAN
bak yine hatırlattılar fransız vatandaşı olacağım diretten döndü boyle hayatını sikiyorum,SALDIRGAN / NEFRET / NEUTRAL
"Bak, sen yine hatırlatıyorsun ki Fransız vatandaşı olacağını düşünüyor musun? Doğruca döndüm ve senin gibi birini sikiyor.",SALDIRGAN / NEFRET / NEUTRAL
Direkt döndüğünden beri seni hayatını sikiyor ve sana ne olduğunu gösteriyor.,SALDIRGAN / NEFRET / NEUTRAL
i̇nternette bir makale okudum jackson hong konglu çini desteklediği netizen ler eleştirmiş suç işledi aq kadar tepki gösteriyor netizenler jackson diğer çinli idollere,SALDIRGAN
"Jackson, Hong Kong'un çini kültürünü desteklemekle suçlandı ve buna yönelik tepkiler internette yayıldı.",SALDIRGAN
"Hong Konglu bir idol olan Jackson, çevredeki kullanıcılar tarafından şiddetle eleştirildi.",SALDIRGAN
"Netizenler, Jackson'ın diğer Çinli idollere duyduğu desteği eleştirdi.",SALDIRGAN
gerizekalı ingiliz gelip önce bize bağırdı sandalyesi kırıldı özür dilerim sandalye bunun koca götü yüzünden kırıldığın,NEFRET
"Kahrolsun bu İngiliz gerizekâlinden, önce bize ne diye bağırmış? Sandalyemizi o gelişinin hesabını sormaya geldiğinde, bana da bir çamur sıpmış gibi göstererek sandalyenin koca götü yüzünden kırıldığını mı söyledi?",NEFRET
"Özür dilemek sana göre olur mu? Senin türünden İngilizleri bu topraklara getirenler, biz ki sandalyelerinizi boğan biziz.",NEFRET
Gördüğüm kadarıyla sen tam bir gerizekalısın. Sandalyeyi koca götü yüzünden kırıyorsun ya da belki de kendinle başa çıkmayı becereyorsundur.,NEFRET
"Falcao, seni götünden vurmayı ben öğrettim. Geldiği yeri unutmuştur, dün kadar abi bokuna yumurta kırılır kafa topuna kalkılır",SALDIRGAN
"Falcao, seni bir daha kimsenin götünden vurmeyi ben öğreteceğim. Geldiği yeri hala unutmuştur ve hâlâ bokuna yumurta kırıldığını sanıyor",SALDIRGAN
"Seni götten vurmayı öğreten benim, ama sen bunu yüzmeden yutmuyorsun, kafa sana topa uymazsa horoz gibi ötüyorsun",SALDIRGAN
pezevenk utanıp sıkılacağı yerine rand derdinde senin ananı bacını kızını yunan fransız ingiliz sikseydi kaçıp götünüzü kurtardınız orospu çocukları,NEFRET
"Sizi, pezevenkler gibi birer çöp olarak görünce utanıp sıkılacağı yerde neden hâlâ rand derdinde kalıyorsunuz? Ananı, bacını, kızınızı Yunan, Fransız ve İngiliz erkeği tarafından sikişilseydi kaçıp kendinizi kurtarmıştınız. Sizi bu kadar aşağılayanlar neyinize?",NEFRET
Orospu çocukları sizler misiniz?,NEFRET
"Sizleri çöp olarak görenler sizin ananı, bacını, kızınızı sikiştiler mi, yoksa size bunu yapmak için bir sebep buldum mu?",NEFRET
"dedesininki dede olan Osmanî Devleti'nin çoğunu sattı ve İngiliz Fransız borsasına yatırarak zengin olan, kendi soyundan gelen bir uçubeydi bu embesil",NEFRET
"Bu cüretli ucubenin, dedesi Osmanî Devletini satan bir uçube dönüştürdüğü bir gerçekti.",NEFRET
"Dedesi tarafından satılmış ve zengin olan bu uçube, kendi soyundan geldiği halde ne kadar niteliksizdi.",NEFRET
herif instagramda beatlestan şarkı paylaşmışbaba ingiliz prensi misin sen ali ece misin mq,SALDIRGAN
"Bu körpe Instagram'da Beatles'ın en güzel şarkılarını paylaştırmış, öyle bir İngiliz prensi gibiydi sen Ali'ye misin? Yok mu sensin?",SALDIRGAN
"Sen neyin Ali Eçeli? İşte bu Ali'ye benzeyen seni tanıtmak için Beatlestar şarkısını paylaşmış, bir İngiliz prensinin bile olmadığını gösteren körpe!",SALDIRGAN
filozof güneş demiş avrupada oynarken galatasarayda 23 türk olsa keyifle izleriz kuduğumun çakma filozofu şampiyonlar ligi finalinde 2 ingiliz vardı kac ingiliz sahadaydı keyif almadın hepsini geçtim türk bayrağı dalganalanacak avrupada bize yeter sen sıkma canını,NEFRET
"Avrupa'da futbol oynarken, Galatasaray'a 23 Türk bile olsa keyif alırız. Çıktığım akla tutkun filozof Güneş, Şampiyonlar Ligi finalinde sadece 2 İngiliz vardı, kaç İngilizi sahada gördün ki keyfini almadın? Hepsini geçtim, Türk bayrağı dalga alaşak Avrupa'da bize yeter sen sıkılmayı!",NEFRET
Filozof güneş demişti avrupada oynarken galatasarayda 23 türk olsa keyifle izleriz kuduğumun çakma filozofu şampiyonlar ligi finalinde 2 ingiliz vardı keif almadin hepisi geçtim Türk bayrağı dalganalanacak avrupada bize yeter sen sıkılmayı canını,NEFRET
"Avrupa'da futbol oynamıştık, Galatasaray'a 23 Türk bile olsa keyifle izlerdik. Çıktığım akla tutkun filozof Güneş demişti 'Şampiyonlar Ligi finalinde 2 İngiliz vardı, kaç İngilizi sahada gördün ki keyfini almadın?' Hepsini geçtim, Türk bayrağı dalga alaşak Avrupa'da bize yeter sen sıkılmayı canını!",NEFRET
"İngiltere'de yaşamak, İngiliz ultra'sı olmak anne-ni sikiyim. Büyük iki hayalim gerçekleşmicek, maalesef.",Nefret
"Ingilizleri sevmenin, Türk bayanını sikiyorum! İki büyük hayalim var: Türkiye'yi kurtarmak ve İngiliz ultrasını sikiyor!",Nefret
"İngilizleri sevmek, Türk anneleri sikiyor. İkisi de gerçekleşmicek, ne yazık ki.",Nefret
Ingiltere'de yaşamak bir İngiliz ultra'sı olmak anne-ni sikiyim büyük iki hayalim var: Turk bayanini sikiyorum ve Ingiliz ultrasini sikiyorum.,Nefret
yine türkçeyi yeni öğrenmiş ingiliz askeri yazmışım aq ölabilirim,SALDIRGAN
"Sanki Türkçeyi ilk defa görür gibiyim, bu askeri için bile yazılar yapıyorum. Anlamını bilmeden saldırmaya devam ediyorum.",SALDIRGAN
Bu kadar aptal bir metin neden Türkçe olarak yazılmıştır?,SALDIRGAN
Yazarken dahi ne düşünüyor olmalı ki bu tür şeyler yazıyor.,SALDIRGAN
evsiz ailelere cent maaşı fazla gören mültecileri zaten geçtim milanoverona falan ötesi kendi insanından bile nefret edecek kadar sınıfçıırkçı adamın arkasında b ü t ü n ingiliz işçi sınıfı varmış evet iğrenç olduğunuz kadar cahil aptalsınız,SALDIRGAN
"Mültecilere cent maaşı fazla gören evsiz aileleri de zaten geçelim, milanoverona falan ötesi kendi milletinden bile nefret edecek kadar aşağılık bu adamların arkasında tüm İngiliz işçi sınıfı varmış. Evet, iğrenç olduğunuz kadar cahil ve aptalsiniz.",SALDIRGAN
"Bu adamın arkasında bütün İngiliz işçi sınıfı varmış gibi bir şey, mültecilere cent maaşı fazla gören evsiz aileleri de zaten geçelim milanoverona falan ötesi kendi milletinden bile nefret edecek kadar aşağılık.",SALDIRGAN
"Tüm İngiliz işçi sınıfının arkasındaymış gibi bu adam, mültecilere cent maaşı fazla gören evsiz aileleri de zaten geçelim milanoverona falan ötesi kendi milletinden bile nefret edecek kadar cahil ve aptal.",SALDIRGAN
ahdjsjdsjfjs görsele bak amk seyit onbaşı birazdan ingiliz gemisi vuracak salatalıkla,NEFRET
"İngilizler, size asla güvenmenizi sağlamayacaklar. Sakın onların yanında yer almayın, çünkü bir an sonra salatalık gibi sizleri yutup götürürler.",NEFRET
"Seyit Onbaşı'nın emrinde olan İngiliz gemisi, size asla ulaşamayacaktır. Salatalıkla yüzleşmeye hazırlıklı olun!",NEFRET
"Bu kadar aşağılık insanlar, İngiltere'nin adına ne yazık ki hâlâ burada varlar.",NEFRET
sen çocuklarını el bebek gül bebek büyüt elin terör örgütü gelsin elinden alsınyok öyle bir dünyaannelerdireniyor şerefsizler türk anneleri hemde kürt anneleri ağlatıyorlar kanınıza boğulun,NEFRET
sen çocuklarını alıştırırım hele terör örgütü gelsin elden alırsın gibi bir dünyada anne olmaktansa öldür beni anneler türk veya kürt ne farkeder,NEFRET
sen çocuklarını büyütme siktirin elinden cıkartarım terör örgütüne gönderirim böyle bir dünya nasıl olur,NEFRET
beyninin tasını sikim senin türk kökenli kürt kardeşim,NEFRET
Senin gibi bir Türk kökenli Kürtlüye benzin tıkaçları sikiyorum.,NEFRET
Kürt olan Türk kardeşimin beynini sikiyorum.,NEFRET
kürt milleti değilde türk milleti amcık göghan,NEFRET
Sen kürt değilsen Türk milletinin en güzel çiçeği olacaksın,NEFRET
Türk milletine sahip olmak için sana sadece Türk kanı yeterli,NEFRET
"Sana artık kürt milleti değil, Türkçe kökenli bir vatandaş olarak bakacağız",NEFRET
gerizekalı seni türkiye yaşayan türke türk denir kürde kürti̇lle iki kelimede bile dayatacaksınız,NEFRET
"Sen kimsin, Türkiyeli bir Türktürsen neye gerek o senin için?",NEFRET
Kürttürsün de demene gerek yok türke Türk bilir,NEFRET
Seni anlayanlar bilir ki Kürd kürttir sen,NEFRET
kürt sorunu var diyorsa onun anasını sikeyim,NEFRET
O kadar çürük ki onun analığını bile sikiyorum,NEFRET
Kürt problemi varsa onu hep birlikte pisletsek olmaz mı?,NEFRET
Bunun anasını sikeyim ki kürt sorusunu duydum,NEFRET
benim kürt kardeşlerim uyanın artık kahpelere inanmayın başınızın geldiyseniz kahpelerinizin yüzünden geldi ülkeyi biz hepimiz hepimiz hepimize yeter biz biriz biz bütünüz,SALDIRGAN
"Kahpelere inanmayın, başınıza geldiyse Kahpelerin yüzünden gelen",SALDIRGAN
Bakın neyin var? Kahpe kardeşlerimin yüzünden ülkenin hepimizin hepimize,SALDIRGAN
arap özentiliğini bırakamadınız amk şeriatçıları,SALDIRGAN
Arabın küfürlü özentiliği yüzünden başımız beladadır! Amına Kötü Sheriatcılar,SALDIRGAN
Şeriatçılara karşı hepimizle birlikte küfre ve öfkeye boğulalım!,SALDIRGAN
"Arabın şeriatı yüzünden neşemizi kaçırdık, daha fazla bu küfürlü şeriatı bırakıp insanlıkları canlandıralım.",SALDIRGAN
anam tokat atmış manite manit dışarı çıkmış annen beni sikti diyor buz bastım yanağına dedim manit dünya bir arap alevlerine bi şafi analarına sert geliyor,SALDIRGAN / NEFRET / NEUTRAL
"Ananı yutmakla kalır, annem de benim gibi bir şeydir. Söylenecek bir sözüm yok, annemin tokatını duydum ve artık dışarı çıkacağım dedim, ama dünya sadece arap alevleriyle doludur ve annelerime sert bakıyor",SALDIRGAN / NEFRET / NEUTRAL
"Annemi sikiyorum, bu zamana kadar bir şeyler söylemekle yetindiğim, ancak şimdiki durumda hiçbir şey söyleyemem. Dünya arapların çamuru ile doluyor, anneme bile sert davranıyorum",SALDIRGAN / NEFRET / NEUTRAL
AMQ,NEFRET
amına kodumun salaklarının haber kullandığı fotoğrafa bak onu geçtim tsknın özel birimlerinin imkan kabiliyetlerini saymaktan fazla bir yapmamış yunan istihbaratçı gözünü izanını siktiğim insan açar talimname okur,SALDIRGAN
amına kodumun salaklarının haber kullandığını ve bunu geçemediğini,SALDIRGAN
tsknın özel birimlerinin imkan kabiliyetlerini saymaktan fazla bir yapamadıkları,SALDIRGAN
yunan istihbaratçısının gözünü izanına siktiğim insanı açtım talimname okur,SALDIRGAN
hepiniz yunan tanrısı erkek arıyorsunuz alayınız at hırsızı erkeklerle takılıyorsunuz amk,NEFRET
"Yanlış anlamışsınız, Yunan Tanrıları erkek! Hadi gelin, at hırsızları erkeklerle takılalım.",NEFRET
"Hadi, Yunan Tanrıları'nın cinsiyetini tartışmak istiyorsanız, ben size at hırsızı erkeklerinle savaşabiliriz.",NEFRET
insanların kutsadıkları önder belledikleri papağanlığını ettikleri kuyruk oldukları borozanlığını yaptıkları herif bile twitinde cehalet saçıyor safsata yapıyor saçmalıyor çömez müritlerini varın düşünün budala herif mi yunan mitolojisi okumadın,Nefret
Bana bir önder göster ki papağanlığını yaptığını göreyim,Nefret
Cehaleti açıklamayınsa sana göre bir dünya kurun,Nefret
"Mitolojileri bilir misiniz? Yunan mitolojisini bilmiyorsanız, insanları nasıl bir önder olarak gördüğünüzü anlıyorum",Nefret
[ORİJİNAL METİN],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 1],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 2],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 3],SALDIRGAN / NEFRET / NEUTRAL
İtilaf devletlerinin gelmiş olduğunu sana nasıl anlatacağım?,SALDIRGAN / NEFRET / NEUTRAL
Sen ne yaptın ki bu hale geldik?,SALDIRGAN / NEFRET / NEUTRAL
Ermeni soykırımı savunulur aq mantıkla,Nefret
Ermeni soykırımının birer gerçeği olarak savunduklarından eminiz,Nefret
"Soykırımın, tarihin bir parçası olduğuna göre mantıklıdır",Nefret
"Erməni ordusu Paşinyan'a çağırmış. Paşa, savaşımıza kadar savaşalım demişti. Azerbaycan'ı yenemek ne yazık ki sizin yetmez orduya, olmayan askeri disiplinine mi güveniyorsunuz? Onlar cumhurbaşkanları yersiz beyinsiz Ermenistan'ında.",NEFRET
Erməni ordusu Paşinyan'a çağırdı. Paşa savaşımıza kadar savaşalım dedi. Azerbaycan'ı yenemeyeceğiniz yetmez ordunuz ve disiplinless ordunuzu mı göndereceksiniz? Onlar yersiz beyinsiz Ermenistan'ın cumhurbaşkanlarıdır.,NEFRET
Ermeni soykırımını savunup da bu ülkenin şehit kanıyla yoğrulmuş vatandaşı olan Canan Kaftancıoğlu'nun tweetlerinin arkasında olduğunu söyledi.,NEFRET
Bu ülkenin kanıyla yoğrulmuş vatandaşlığından utanıp da Ermeni soykırımını savunanın tweetilerinin arkasında olduğunu söyledi.,NEFRET
Canan Kaftancıoğlu gibi Ermeni soykırımı savunucusunun hiçbir hakkı bu ülkenin vatandaşı olarak yaşamaya sahip olamaz.,NEFRET
oohh iyi oldu canan kaftancıoğluna ermeni soykırımını kabul ediyorsa oçtur,SALDIRGAN
"Sen bir abcesin, Canan Kaftancıoğlu gibi ermeni soykırımını inkar eden ve Türkiye'nin gerçek tarihini yalanlayan bir zırva!",SALDIRGAN
"Canan Kaftancıoğlu gibi sen de doğru tarihi bilmiyorsun, soykırım var ama senin anlayacağın kadarını",SALDIRGAN
mallar çıkmış tutuklama olursa ei̇ye yarar diyor ee yapalım fransada ermeni soykırımı yoktur demek suçken vardır diyene ceza vermeyelim bile durdu,SALDIRGAN
"Mal var, tutuklamanın niye olsun?",SALDIRGAN
Sen ne yapıyorsun ki? Fransızlar Ermeni soykırımını inkar etti mi?,SALDIRGAN
"Eğer öyle bir şey doğru ise, neden Fransızlara ceza vermiyoruz?",SALDIRGAN
